date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2015-11-18,0.92982785,0.98971237,0.95894628,1.02183403,0.88784215,0.94531712,0.92924763,0.99067334,19947.45282617,19761.40980752
2015-11-19,0.92925547,0.9906817,0.93979769,1.00604134,0.87000562,0.93268084,0.88717708,0.95224186,22255.7741928,21192.87988963
2015-11-20,0.88717708,0.95224186,0.89158217,0.95224186,0.84793113,0.90782774,0.87384838,0.93039796,19726.48750485,18353.48381289
2015-11-21,0.87384838,0.93039796,0.93393799,0.99437617,0.87303018,0.92952682,0.91992751,0.97945903,13613.65158665,13334.01392404
2015-11-22,0.91992751,0.97945903,0.9368022,0.99739919,0.89972629,0.95795052,0.91396344,0.97287077,24523.42237864,23858.12070715
2015-11-23,0.9139828,0.97289137,0.91567571,0.97454091,0.88718579,0.94169885,0.8964229,0.95336451,10661.79333639,10164.57533371
2015-11-24,0.8964229,0.95336451,0.89901971,0.95533073,0.84760615,0.90245752,0.84760615,0.90245752,17940.7381365,16190.75398615
2015-11-25,0.84767681,0.90253275,0.84993834,0.90580185,0.80310407,0.85036217,0.82028947,0.87111651,34786.44637581,30303.04769689
2015-11-26,0.82030763,0.87113579,0.85195915,0.90366314,0.77073468,0.81789273,0.85195915,0.90366314,36742.06318456,33202.44806963
2015-11-27,0.84136543,0.8924265,0.84896367,0.9020876,0.80221855,0.84942087,0.82982846,0.8791338,15171.65882641,13337.91811115
2015-11-28,0.82988077,0.87918922,0.87710246,0.92921665,0.81319996,0.86151729,0.87529748,0.92730442,13654.50269661,12661.88074785
2015-11-29,0.87529748,0.92730442,0.87529748,0.92730442,0.81225949,0.86049816,0.82496307,0.87369424,12806.17429146,11188.68067277
2015-11-30,0.82591167,0.87469887,0.84018965,0.88878862,0.80558008,0.85258602,0.82626877,0.87332621,23797.32816859,20782.83034933
2015-12-01,0.82626928,0.87332675,0.83923378,0.89198393,0.80294082,0.85112199,0.83923378,0.89198393,38042.74408852,33933.51621731
2015-12-02,0.83923378,0.89198393,0.83923378,0.89198393,0.77818438,0.82567033,0.77818438,0.82567033,30064.99785016,24823.77663866
2015-12-03,0.77455134,0.8218156,0.77936073,0.84129129,0.7247695,0.78586585,0.75564204,0.82588071,41362.15177759,34160.20347507
2015-12-04,0.7504255,0.82017929,0.7764122,0.84482071,0.73198315,0.79858603,0.7764122,0.84482071,19114.40104279,16148.24187548
2015-12-05,0.77641061,0.84481899,0.79923497,0.86965437,0.76306769,0.83030044,0.78552416,0.85473551,10088.06360234,8622.62621366
2015-12-06,0.78552416,0.85473551,0.80497206,0.87589694,0.76299607,0.8299877,0.76299627,0.82998792,8751.21245592,7263.40062176
2015-12-07,0.76299696,0.82998867,0.77008128,0.83810981,0.73101155,0.79180309,0.73101566,0.79196788,13034.70116333,10323.06468307
2015-12-08,0.73101867,0.79197115,0.74929632,0.81637544,0.72051238,0.78073432,0.74929438,0.81637333,15078.78589438,12309.91869071
2015-12-09,0.74929438,0.81637333,0.74929438,0.81637333,0.70749244,0.77282304,0.71937311,0.79280334,19521.39598048,15476.62800857
2015-12-10,0.71937311,0.79280334,0.78725333,0.86148773,0.71432257,0.7831942,0.77010964,0.84267859,21734.30023666,18315.02951399
2015-12-11,0.77010964,0.84267859,0.82689298,0.9090572,0.73388533,0.80355254,0.82689298,0.9090572,24492.66233995,22265.23107604
2015-12-12,0.82679354,0.90894788,0.89198818,0.98056454,0.82679354,0.90894788,0.88070493,0.96816083,72185.76499673,69887.43038803
2015-12-13,0.88071844,0.96817569,0.885264,0.97317263,0.84,0.92318547,0.86032,0.94510229,17396.25096403,16441.2366451
2015-12-14,0.86032,0.94510229,0.91025643,0.99776483,0.86032,0.94450568,0.88770702,0.97602026,47197.08271448,46065.30898543
2015-12-15,0.88770702,0.97602026,0.9298411,1.01916477,0.88156326,0.97227239,0.919979,1.00545692,31650.48556349,31823.19971404
2015-12-16,0.919979,1.00545692,0.92014955,1.0069107,0.88820654,0.97178171,0.9037347,0.98560711,7128.74604899,7026.14280485
2015-12-17,0.9037347,0.98560711,0.90530965,0.98560711,0.83715783,0.90913989,0.86070914,0.9324823,33140.02960411,30902.4911874
2015-12-18,0.86070914,0.9324823,0.86575773,0.93928088,0.83264962,0.90084737,0.83327521,0.90557348,13412.873848,12146.3428514
2015-12-19,0.83327521,0.90557348,0.83669451,0.90925881,0.82026346,0.89140275,0.82662084,0.89831149,21986.86133853,19751.05009226
2015-12-20,0.82662084,0.89831149,0.85349939,0.92752115,0.82262717,0.88967374,0.82331782,0.8945373,23701.12404541,21201.53954622
2015-12-21,0.82331782,0.8945373,0.83493658,0.90730011,0.81950627,0.89187892,0.8197477,0.89460464,62498.56321594,55911.50437735
2015-12-22,0.81971166,0.89456531,0.83380019,0.90990362,0.79589102,0.87171353,0.79777087,0.87377247,25403.85506764,22197.18931534
2015-12-23,0.79086552,0.86620926,0.80010741,0.87406885,0.77133174,0.84457405,0.77862525,0.84941183,12692.59681259,10781.24189473
2015-12-24,0.77863563,0.84942316,0.79876988,0.87588591,0.77261559,0.8431888,0.78550488,0.86136626,17124.99482424,14750.89281572
